تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,1003500,1004887,993162,31608851769141,31498582
1401/03/06,1003000,1004386,992292,31500133362212,31405890
1401/03/05,1002223,1003608,992026,31475711855687,31405890
1401/03/04,1002000,1003385,991803,31468705365111,31405890
1401/03/03,1001500,1002888,989297,31440873776296,31393776
1401/03/02,1001000,1002385,985855,31321451489895,31290152
1401/03/01,1000500,1001882,986404,31172524499959,31156918
1401/02/31,1000000,1001372,985793,30799398936130,30799394
1401/02/30,1015000,1016368,1002430,31318527727190,30855677
1401/02/29,1014205,1015572,1002170,31293989300004,30855677
1401/02/28,1014000,1015367,1001965,31287661628435,30855677
1401/02/27,1013500,1014856,1002176,31349842894267,30932239
1401/02/26,1013000,1014498,999949,27888065580731,27530162
1401/02/25,1012500,1013998,999700,27894911188317,27550525
1401/02/24,1012000,1013497,1000068,27803667497219,27473960
1401/02/23,1011500,1012972,998159,28002621284694,27684227
1401/02/22,1010709,1012181,997949,27980719624359,27684227
1401/02/21,1010500,1011971,997739,27974923079196,27684227
1401/02/20,1010000,1011454,995991,27992913424934,27715731
1401/02/19,1009500,1010895,991338,28553039542352,28284312
1401/02/18,1009000,1010391,991808,28642585650729,28387085
1401/02/17,1008500,1009878,990731,28701844084468,28459919
1401/02/16,1008000,1009370,988732,28756696133721,28528461
1401/02/15,1006636,1008005,988519,28717787055648,28528461
1401/02/14,1006423,1007793,988306,28711727167711,28528461
1401/02/13,1006211,1007580,988094,28705663256436,28528461
1401/02/12,1006000,1007369,987883,28699648528131,28528461
1401/02/11,1005500,1006867,986561,28661528613769,28504739
1401/02/10,1005000,1006359,986325,28703393058068,28560561
1401/02/09,1004500,1005766,986712,30787937322510,30649995
1401/02/08,1003765,1005030,986448,30765399936490,30649995
1401/02/07,1003500,1004766,986184,30757298494970,30649995
1401/02/06,1003000,1004185,985571,32726547044891,32628637
1401/02/05,1002500,1003690,984141,32453658737828,32372718
1401/02/04,1002000,1003186,983053,32495368672651,32430485
1401/02/03,1001500,1002718,982818,32065974104037,32017926
1401/02/02,1000499,1001716,982573,32033905792796,32017926
1401/02/01,1000253,1001470,982328,32026054033606,32017926
1401/01/31,1000000,1001217,982074,32017939480273,32017926
1401/01/30,1016920,1018135,1002573,32563011011493,32021212
1401/01/29,1016450,1017592,1002702,34545353337683,33986268
1401/01/28,1015980,1017129,1001184,34671832422637,34126465
1401/01/27,1015510,1016659,1000325,34568680052485,34040698
1401/01/26,1015040,1016184,999387,34586791761539,34074313
1401/01/25,1014383,1015528,999104,34564431909740,34074313
1401/01/24,1014100,1015244,998821,34554779683742,34074313
1401/01/23,1013630,1014742,998426,35437641435318,34961117
1401/01/22,1013160,1014275,998857,35473417610410,35012643
1401/01/21,1012690,1013805,997545,35427130789192,34983186
1401/01/20,1012220,1013336,996925,35418681825849,34991066
1401/01/19,1011750,1012881,995736,34901109396721,34495763
1401/01/18,1011082,1012213,995467,34878075074130,34495763
1401/01/17,1010810,1011941,995195,34868691169639,34495763
1401/01/16,1010340,1011470,994920,34851114251291,34494414
1401/01/15,1009870,1010944,994681,36189997341210,35836287
1401/01/14,1009400,1010469,993731,36200464336133,35863343
1401/01/13,1008930,1009992,991761,36071722423775,35752450
1401/01/12,1008083,1009144,991480,36041445972425,35752450
1401/01/11,1007801,1008863,991198,36031386170212,35752450
1401/01/10,1007520,1008582,990917,36021343479554,35752450
1401/01/09,1007050,1008099,988447,35979714362780,35727829
1401/01/08,1006580,1007627,987157,35754537271638,35520790
1401/01/07,1006110,1007151,986358,35695694179767,35478912
1401/01/06,1005640,1006675,984542,35635388699113,35435515
1401/01/05,1005170,1006200,984365,35595965414025,35412875
1401/01/04,1003930,1004959,984087,35552054427277,35412875
1401/01/03,1003651,1004680,983808,35542171790185,35412875
1401/01/02,1003371,1004401,983528,35532284525729,35412875
1401/01/01,1003093,1004122,983250,35522423489602,35412875
1400/12/29,1002820,1003849,982977,35512749773245,35412875
1400/12/28,1002350,1003379,982669,35496121681335,35412875
1400/12/27,1001880,1002913,978376,35151340158749,35085365
1400/12/26,1001249,1002282,978091,35129195573605,35085365
1400/12/25,1000940,1001973,977783,35118370151076,35085365
1400/12/24,1000470,1001506,975859,34956633579889,34940200
1400/12/23,1000000,1001024,975880,35172402357567,35172393
1400/12/22,1010341,1011361,988125,35513613316390,35150093
1400/12/21,1009871,1010901,987534,35449210488578,35102711
1400/12/20,1009400,1010424,986973,35677317542568,35345055
1400/12/19,1008739,1009763,986690,35653964565388,35345055
1400/12/18,1008460,1009483,986411,35644080186185,35345055
1400/12/17,1007990,1009010,986403,35672822991741,35390036
1400/12/16,1007520,1008519,986313,35639496622673,35373467
1400/12/15,1007050,1008043,984592,35614922687841,35365580
1400/12/14,1006580,1007566,983529,35700074718033,35466688
1400/12/13,1006110,1007089,982218,35879060350480,35661150
1400/12/12,1005648,1006626,981942,35862568304984,35661150
1400/12/11,1005170,1006148,981665,35845538906813,35661150
1400/12/10,1004700,1005671,980858,35831203902018,35663564
1400/12/09,1004230,1005200,980573,35814440487500,35663564
1400/12/08,1003760,1004727,979090,35829936975860,35695721
1400/12/07,1003290,1004295,978077,34432406191865,34319474
1400/12/06,1002820,1003823,977147,34442715263887,34345839
1400/12/05,1002154,1003157,976875,34419843541442,34345839
1400/12/04,1001880,1002882,976601,34410420336384,34345839
1400/12/03,1001410,1002456,974232,32869059361644,32822757
1400/12/02,1000940,1002026,971685,31446977969179,31417440
1400/12/01,1000470,1001605,968957,29865673833644,29851627
1400/11/30,1000000,1001147,967216,29479250218088,29479225
1400/11/29,1013631,1014774,982209,29918430285690,29516084
1400/11/28,1012918,1014061,981984,29897399090571,29516084
1400/11/27,1012691,1013834,981757,29890680075178,29516084
1400/11/26,1012221,1013504,981069,29880698069888,29519933
1400/11/25,1011751,1013034,980801,29866822117575,29519933
1400/11/24,1011280,1012570,980998,29890208361720,29556794
1400/11/23,1010810,1012093,980986,30024520679662,29703424
1400/11/22,1010340,1011558,979516,30053149379309,29745560
1400/11/21,1009639,1010857,979285,30032302453002,29745560
1400/11/20,1009400,1010616,979045,30025170510949,29745560
1400/11/19,1008930,1010137,978328,30029988041387,29764166
1400/11/18,1008460,1009656,976701,29971602953013,29720161
1400/11/17,1007990,1009180,974607,29864455297814,29627714
1400/11/16,1007520,1008709,973581,29879397064886,29656363
1400/11/15,1007050,1008229,969607,29947569361237,29737917
1400/11/14,1006345,1007524,969372,29926619374113,29737917
1400/11/13,1006110,1007293,969137,29919630603125,29737917
1400/11/12,1005640,1006808,967478,29904468529932,29736738
1400/11/11,1005170,1006328,964006,29934200722122,29780219
1400/11/10,1004700,1005849,961640,29931459446822,29791426
1400/11/09,1004230,1005362,958952,30068157289305,29941501
1400/11/08,1003760,1004875,954930,30052784058035,29940182
1400/11/07,1003202,1004316,954699,30036079200529,29940182
1400/11/06,1002820,1003933,954316,30024626123038,29940182
1400/11/05,1002350,1003456,952025,29946625972869,29876416
1400/11/04,1001880,1003017,956217,29942021532606,29885816
1400/11/03,1001410,1002559,959313,29780295471420,29738346
1400/11/02,1000940,1002096,960010,29688215689070,29660330
1400/11/01,1000470,1001626,959995,29845123317981,29831100
1400/10/30,1000000,1001156,959766,29831123397779,29831100
1400/10/29,1013720,1014875,976058,30240390617584,29831100
1400/10/28,1013250,1014504,967985,28239450739285,27870160
1400/10/27,1012780,1014046,969600,28293168345089,27936141
1400/10/26,1012310,1013571,968486,28510096485626,28163402
1400/10/25,1011840,1013140,969044,28521220013434,28187465
1400/10/24,1011370,1012674,969010,28744603048475,28421434
1400/10/23,1010900,1012204,968789,28731238634972,28421434
1400/10/22,1010430,1011733,968569,28717870604029,28421434
1400/10/21,1009960,1011273,966644,28870364915962,28585631
1400/10/20,1009490,1010816,968707,28949956981190,28677794
1400/10/19,1009020,1010374,970139,29036185506387,28776609
1400/10/18,1008550,1009920,970806,29033152152290,28787011
1400/10/17,1008080,1009459,967470,28858447524305,28627112
1400/10/16,1007349,1008727,967267,28837503635314,28627112
1400/10/15,1007141,1008519,967059,28831561096102,28627112
1400/10/14,1006671,1008038,965344,28828439164626,28637390
1400/10/13,1006201,1007557,965369,29199885562834,29019917
1400/10/12,1005731,1007093,963122,29151423134839,28985293
1400/10/11,1005261,1006624,961985,29138427456952,28985932
1400/10/10,1004790,1006193,961825,29068762114525,28930184
1400/10/09,1004023,1005426,961627,29046573860802,28930184
1400/10/08,1003850,1005254,961454,29041589511323,28930184
1400/10/07,1003380,1004782,959420,28931497688279,28834011
1400/10/06,1002910,1004327,956688,28063236957915,27981801
1400/10/05,1002440,1003852,955704,28033756630673,27965517
1400/10/04,1001970,1003390,956920,27986713413142,27931669
1400/10/03,1001500,1002882,956891,28620801587627,28577920
1400/10/02,1000725,1002107,956672,28598653824646,28577920
1400/10/01,1000500,1001881,956446,28592221975830,28577920
1400/09/30,1000000,1001343,954171,28794735651807,28794718
1400/09/29,1014440,1015770,966560,29199948434606,28784277
1400/09/28,1013940,1015281,968451,29528581655198,29122608
1400/09/27,1013440,1014796,969763,29611162317466,29218443
1400/09/26,1012940,1014279,969960,29906007124740,29523965
1400/09/25,1012460,1013799,969727,29891839411172,29523965
1400/09/24,1011980,1013319,969494,29877677518669,29523965
1400/09/23,1011500,1012842,969896,29829066107308,29489909
1400/09/22,1011000,1012343,971342,29962236517606,29636210
1400/09/21,1010500,1011855,972039,29989867437936,29678223
1400/09/20,1010000,1011368,974382,30005180007413,29708083
1400/09/19,1009500,1010870,973889,30070733022175,29787733
1400/09/18,1008802,1010172,973651,30049939600267,29787733
1400/09/17,1008500,1009869,973349,30040947481006,29787733
1400/09/16,1008000,1009366,973503,30027356735654,29789035
1400/09/15,1007500,1008868,973470,29982343684332,29759147
1400/09/14,1007000,1008369,973483,29957630778490,29749371
1400/09/13,1006500,1007866,972733,29970868717193,29777292
1400/09/12,1006000,1007362,973068,30027408939436,29848299
1400/09/11,1005132,1006493,972836,30001487075415,29848299
1400/09/10,1005000,1006362,972705,29997554923931,29848299
1400/09/09,1004500,1005879,971965,29905545987798,29771546
1400/09/08,1004000,1005385,969714,29816467971354,29697652
1400/09/07,1003500,1004877,969810,29768687551384,29664841
1400/09/06,1003000,1004372,969647,29732192312198,29643261
1400/09/05,1002500,1003856,970295,30233159635075,30157748
1400/09/04,1001690,1003045,970042,30208714945286,30157748
1400/09/03,1001500,1002856,969852,30203011615140,30157748
1400/09/02,1001000,1002308,968606,31107788902205,31076686
1400/09/01,1000500,1001805,968881,31142640638984,31127068
1400/08/30,1000000,1001312,968577,30900255472045,30900249
1400/08/29,1014501,1015823,983732,31443943295147,30994468
1400/08/28,1014001,1015335,983451,31447852379218,31013606
1400/08/27,1013268,1014601,983192,31425108366614,31013606
1400/08/26,1013001,1014334,982925,31416835537315,31013606
1400/08/25,1012501,1013834,984072,31408169412603,31020361
1400/08/24,1012001,1013313,982927,31898192647070,31519920
1400/08/23,1011500,1012809,983031,31885249302478,31522708
1400/08/22,1011000,1012295,982257,31888515606200,31541545
1400/08/21,1010500,1011794,982338,31860229643680,31529148
1400/08/20,1009812,1011105,982064,31838513913225,31529148
1400/08/19,1009500,1010793,981752,31828678018723,31529148
1400/08/18,1009000,1010280,982952,31816604926125,31532779
1400/08/17,1008500,1009756,977778,31747610522559,31480013
1400/08/16,1007999,1009214,979806,31679595824391,31428171
1400/08/15,1007500,1008728,977898,31618251258511,31382855
1400/08/14,1007000,1008213,982195,31618969898845,31399149
1400/08/13,1006500,1007713,981910,31603259331910,31399149
1400/08/12,1006000,1007212,981475,31587554027032,31399149
1400/08/11,1005500,1006705,980355,31490521516134,31318244
1400/08/10,1005000,1006187,980773,31331447493234,31175557
1400/08/09,1004500,1005649,980482,31314406837058,31174117
1400/08/08,1004000,1005140,979896,31318171249202,31193378
1400/08/07,1003500,1004641,974818,31309414803674,31200214
1400/08/06,1002799,1003940,974519,31287549136383,31200214
1400/08/05,1002500,1003641,974221,31278232902402,31200214
1400/08/04,1002000,1003147,972690,30641081139247,30579903
1400/08/03,1001500,1002630,977181,30789465437894,30743324
1400/08/02,1001000,1002146,976166,30485637491193,30455155
1400/08/01,1000500,1001646,975748,30470397984957,30455155
1400/07/30,1000000,1001164,975304,30279846465796,30279829
1400/07/29,1014500,1015663,991407,30718894783497,30279829
1400/07/28,1014000,1015163,991082,30703759157406,30279829
1400/07/27,1013500,1014678,988171,30526288454989,30119656
1400/07/26,1013000,1014192,987928,30499737151381,30108317
1400/07/25,1012500,1013697,987627,30455693733058,30079682
1400/07/24,1012000,1013209,987483,30264225409557,29905336
1400/07/23,1011500,1012691,986761,30435711351632,30089668
1400/07/22,1010824,1012016,986437,30415382125518,30089668
1400/07/21,1010500,1011691,986112,30405625207141,30089668
1400/07/20,1010000,1011182,986124,30377909593004,30077125
1400/07/19,1009500,1010695,986312,30414763555450,30128537
1400/07/18,1009000,1010177,985430,30688867967549,30415112
1400/07/17,1008500,1009675,985524,30626906935212,30368754
1400/07/16,1008000,1009166,985019,30576067367285,30333388
1400/07/15,1007321,1008487,984699,30555459206206,30333388
1400/07/14,1007000,1008166,984379,30545741686234,30333388
1400/07/13,1006500,1007654,983714,30517414478898,30320317
1400/07/12,1006000,1007153,983396,30502241640325,30320317
1400/07/11,1005500,1006637,983009,30236500295832,30071080
1400/07/10,1005000,1006132,982277,30177323316300,30027185
1400/07/09,1004500,1005657,981234,29855386500014,29721614
1400/07/08,1003909,1005066,980913,29837809947930,29721614
1400/07/07,1003500,1004656,980504,29825661651955,29721614
1400/07/06,1003000,1004158,980122,29778206667418,29689136
1400/07/05,1002500,1003664,979023,29613823623713,29539965
1400/07/04,1002000,1003164,978677,29599062964552,29539965
1400/07/03,1001500,1002670,977558,29329358142400,29285417
1400/07/02,1001000,1002215,975941,28546020079478,28517492
1400/07/01,1000342,1001557,975615,28527260954120,28517492
1400/06/31,1000000,1001215,975272,28517499327493,28517492
1400/06/30,1015000,1016226,991510,28916329532814,28488993
1400/06/29,1014500,1015748,984802,28863658198276,28451112
1400/06/28,1014000,1015244,993652,28843305138413,28445072
1400/06/27,1013500,1014764,993397,28800561460692,28416908
1400/06/26,1013000,1014285,993955,28758220370357,28389141
1400/06/25,1012276,1013561,993628,28737669684728,28389141
1400/06/24,1012000,1013285,993351,28729833022395,28389141
1400/06/23,1011500,1012787,993325,28711895533899,28385451
1400/06/22,1011000,1012306,993206,28660401995062,28348542
1400/06/21,1010500,1011807,993718,28692423494013,28394259
1400/06/20,1010000,1011342,992877,28025592453591,27748089
1400/06/19,1009500,1010853,994106,27890711767775,27628217
1400/06/18,1008818,1010170,993786,27871850529188,27628217
1400/06/17,1008500,1009852,993468,27863070517328,27628217
1400/06/16,1008000,1009348,993137,27765708388090,27545327
1400/06/15,1007500,1008867,992744,27470616651990,27266106
1400/06/14,1007000,1008366,992553,27407818803038,27217280
1400/06/13,1006500,1007868,992163,27319539008466,27143104
1400/06/12,1006000,1007359,991090,27228161631685,27065762
1400/06/11,1005456,1006815,990775,27213453221330,27065762
1400/06/10,1005000,1006358,990318,27201096136499,27065762
1400/06/09,1004500,1005897,990401,27149763468617,27028115
1400/06/08,1004000,1005388,989216,27104954359948,26996964
1400/06/07,1003500,1004926,989572,27055424789873,26961043
1400/06/06,1003000,1004408,988883,26982348732988,26901630
1400/06/05,1002500,1003991,987467,26660709252769,26594207
1400/06/04,1002000,1003491,987149,26647421641364,26594207
1400/06/03,1001496,1002987,986806,26634006305210,26594207
1400/06/02,1001000,1002481,987259,27080310749351,27053253
1400/06/01,1000500,1001974,986910,26951363162052,26937884
1400/05/31,1000000,1001471,986882,26783048200380,26783027
1400/05/30,1015020,1016505,1002084,27197397657543,26794937
1400/05/29,1014149,1015634,1001726,27174064527867,26794937
1400/05/28,1013834,1015319,1001411,27165633507620,26794937
1400/05/27,1013520,1015005,1001097,27157215295644,26794937
1400/05/26,1013013,1014498,1000783,27143628404240,26794937
1400/05/25,1012520,1014005,1000476,27130434880179,26794937
1400/05/24,1012020,1013501,1000008,27117028636169,26794937
1400/05/23,1011520,1012993,998736,27105316500332,26796594
1400/05/22,1011020,1012498,998628,27159995036031,26863952
1400/05/21,1010335,1011813,998316,27141605317265,26863952
1400/05/20,1010020,1011498,998000,27133136242488,26863952
1400/05/19,1009520,1010981,995698,27081216839361,26825822
1400/05/18,1009020,1010467,994603,27034599446148,26792922
1400/05/17,1008519,1009958,994501,27212680699113,26982811
1400/05/16,1008019,1009461,993831,27040428699419,26825312
1400/05/15,1007518,1008952,992462,26993220036749,26791775
1400/05/14,1006827,1008260,992152,26974686198013,26791775
1400/05/13,1006519,1007953,991844,26966449388667,26791775
1400/05/12,1006019,1007413,991383,27343866679451,27180259
1400/05/11,1005502,1006894,989498,26988521139135,26840834
1400/05/10,1005002,1006388,989052,26958168166374,26823967
1400/05/09,1004501,1005863,988924,26985025058029,26864099
1400/05/08,1004001,1005331,987888,27028823354216,26921104
1400/05/07,1003316,1004646,987573,27010390070708,26921104
1400/05/06,1003001,1004331,987258,27001908769076,26921104
1400/05/05,1002501,1003831,985862,26918780385159,26851621
1400/05/04,1002000,1003336,985375,26780473568361,26726995
1400/05/03,1000914,1002269,984069,26577933397093,26553640
1400/05/02,1000610,1001964,983765,26569841884502,26553640
1400/05/01,1000305,1001660,983460,26561757364861,26553640
1400/04/31,1000000,1001355,983155,26553662288226,26553640
1400/04/30,1015041,1016395,999932,26953054510001,26553640
1400/04/29,1014541,1015894,999616,26939757908572,26553640
1400/04/28,1014041,1015394,999310,26926492071154,26553640
1400/04/27,1013541,1014892,997781,26756626560552,26399137
1400/04/26,1013021,1014391,998273,26728946100332,26385367
1400/04/25,1012521,1013904,998233,26731461221547,26400888
1400/04/24,1011850,1013233,997917,26713759397550,26400888
1400/04/23,1011543,1012926,997597,26705653000452,26400888
1400/04/22,1011021,1012436,997194,26609404665087,26319326
1400/04/21,1010511,1012042,994823,26827777920398,26548701
1400/04/20,1010011,1011536,994491,26821557584991,26555706
1400/04/19,1009500,1011031,992940,26677019209456,26425965
1400/04/18,1009000,1010539,993046,26566657309476,26329683
1400/04/17,1008738,1010276,992713,26559753268791,26329683
1400/04/16,1008443,1009957,992393,26551999081306,26329683
1400/04/15,1007500,1008995,991366,26469213149804,26272154
1400/04/14,1007000,1008343,989360,26214410481401,26032175
1400/04/13,1006500,1007871,988154,25430014028835,25265781
1400/04/12,1006000,1007361,987598,25339670880432,25188515
1400/04/11,1005500,1006856,987117,25231377239356,25093351
1400/04/10,1005000,1006355,986760,25218831261454,25093351
1400/04/09,1004489,1005844,986402,25206009820056,25093351
1400/04/08,1004000,1005347,986834,25126195114263,25026077
1400/04/07,1003500,1004833,987372,25063916468826,24976485
1400/04/06,1003000,1004318,986792,25052908298263,24977974
1400/04/05,1002500,1003800,985909,25051203804786,24988726
1400/04/04,1002000,1003303,985731,24755838593648,24706407
1400/04/03,1001500,1002803,985360,24743490712401,24706407
1400/04/02,1001000,1002301,984987,24731116172093,24706407
1400/04/01,1000500,1001776,984933,24633379236877,24621066
1400/03/31,1000000,1001268,983926,24514666441128,24514665
1400/03/30,1016310,1017574,1000886,24756514788329,24359198
1400/03/29,1015420,1016671,1002356,24745594528312,24369805
1400/03/28,1014890,1016121,1001370,24646733038365,24285117
1400/03/27,1014197,1015428,1000989,24629904035887,24285117
1400/03/26,1013830,1015061,1000608,24620998455013,24285117
1400/03/25,1013300,1014516,1000998,24605554942278,24282593
1400/03/24,1012770,1013978,1000502,24643499299215,24332760
1400/03/23,1012240,1013447,999844,24633457768717,24335578
1400/03/22,1011710,1012917,999497,24656858388494,24371449
1400/03/21,1011180,1012385,999192,24743262827240,24469670
1400/03/20,1010485,1011689,998815,24726240367811,24469670
1400/03/19,1010121,1011325,998437,24717349507093,24469670
1400/03/18,1009591,1010709,998043,24698894339514,24464240
1400/03/17,1009061,1010181,997516,24751676887581,24529410
1400/03/16,1008531,1009647,996935,24742274809454,24532981
1400/03/15,1008001,1009117,996568,24729275082554,24532981
1400/03/14,1007471,1008586,996196,24716270999960,24532981
1400/03/13,1006941,1008056,995830,24703265812156,24532981
1400/03/12,1006411,1007526,995464,24690268318224,24532981
1400/03/11,1005881,1006989,995065,24664027576626,24519817
1400/03/10,1005351,1006464,994268,24599051345291,24468103
1400/03/09,1004821,1005924,994611,24562202470372,24444347
1400/03/08,1004291,1005389,993934,24515387855064,24410629
1400/03/07,1003761,1004847,993156,24443654968328,24352055
1400/03/06,1003231,1004317,992788,24430754073381,24352055
1400/03/05,1002701,1003786,992367,24417843091675,24352055
1400/03/04,1002171,1003253,990775,24318038799330,24265354
1400/03/03,1001641,1002746,991171,23774008754980,23735054
1400/03/02,1001051,1002157,991094,23805026836929,23780018
1400/03/01,1000561,1001685,992094,23614912006242,23601653
1400/02/31,1000000,1001140,989784,23555794884338,23555775
1400/02/30,1016870,1018009,1006913,23953168927198,23555775
1400/02/29,1016240,1017380,1006663,23938335681700,23555775
1400/02/28,1015680,1016832,1004266,23773449433122,23406430
1400/02/27,1015120,1016278,999615,23636388772095,23284328
1400/02/26,1014560,1015717,1008921,23739891228765,23399184
1400/02/25,1014000,1015159,1009049,23734587723387,23406884
1400/02/24,1013440,1014600,1008113,23735411018261,23420618
1400/02/23,1012880,1014039,1007744,23722276214044,23420618
1400/02/22,1012320,1013479,1007374,23709169897474,23420618
1400/02/21,1011760,1012915,1006051,23660974502112,23385945
1400/02/20,1011200,1012349,1006235,23643807500098,23381913
1400/02/19,1010640,1011785,1005603,23632253725559,23383443
1400/02/18,1010080,1011233,1006343,23588729677096,23353316
1400/02/17,1009520,1010676,1006279,23582512195394,23360117
1400/02/16,1008781,1009936,1005905,23565251362105,23360117
1400/02/15,1008400,1009556,1005529,23556360566145,23360117
1400/02/14,1007840,1008995,1005094,23506481862807,23323604
1400/02/13,1007280,1008434,1004720,23493405379031,23323604
1400/02/12,1006720,1007881,1004845,23490103675524,23333294
1400/02/11,1006160,1007330,1004686,23478384930000,23334633
1400/02/10,1005600,1006776,1004471,23396282621977,23265982
1400/02/09,1005040,1006216,1004095,23383259467944,23265982
1400/02/08,1004480,1005655,1003685,23370231600122,23265982
1400/02/07,1003920,1005091,1010566,23258675300977,23167837
1400/02/06,1003360,1004519,1010201,23239446050443,23161622
1400/02/05,1002800,1003958,1009522,23067873440035,23003452
1400/02/04,1002239,1003395,1008696,23015563827724,22964126
1400/02/03,1001680,1002825,1008541,22903328140464,22864894
1400/02/02,1001249,1002393,1008161,22893453076977,22864894
1400/02/01,1000865,1002009,1007782,22884676723929,22864894
1400/01/31,1000000,1001167,1007302,22830966887090,22830953
1400/01/30,1016823,1017986,1021882,23221846600274,22837639
1400/01/29,1016263,1017488,1021856,23203288502002,22831962
1400/01/28,1015703,1016962,1021894,23197579800400,22838929
1400/01/27,1015143,1016405,1021919,23227370347155,22880869
1400/01/26,1014403,1015665,1021548,23210433908998,22880869
1400/01/25,1014023,1015285,1021176,23201745499004,22880869
1400/01/24,1013463,1014751,1020641,23178465170000,22870554
1400/01/23,1012903,1014197,1020060,23157121493033,22862117
1400/01/22,1012343,1013622,1019647,23061408360593,22780211
1400/01/21,1011784,1013043,1018850,23020611611126,22752489
1400/01/20,1011224,1012487,1018235,23000151145836,22744861
1400/01/19,1010658,1011922,1017865,22987298373050,22744861
1400/01/18,1010093,1011356,1017494,22974433600412,22744861
1400/01/17,1009527,1010794,1017230,22955531280483,22738876
1400/01/16,1008967,1010238,1015462,22873868416329,22670576
1400/01/15,1008407,1009684,1017360,22865189961501,22674559
1400/01/14,1007847,1009135,1017240,22854213336263,22676257
1400/01/13,1007287,1008557,1016529,23269358387172,23101000
1400/01/12,1006727,1007996,1016170,23256401432127,23101000
1400/01/11,1006167,1007437,1015807,23243484910357,23101000
1400/01/10,1005607,1006883,1015289,23230569259731,23101030
1400/01/09,1005047,1006324,1014749,23203467521304,23086947
1400/01/08,1004487,1005764,1014335,23190542980359,23086947
1400/01/07,1003927,1005201,1013939,23195593793356,23104860
1400/01/06,1003367,1004652,1013525,23125088516622,23047476
1400/01/05,1002807,1004091,1013109,23112177311555,23047476
1400/01/04,1002247,1003531,1012742,23099275853156,23047476
1400/01/03,1001687,1002970,1012371,23086364040302,23047476
1400/01/02,1001127,1002411,1012004,23073472138463,23047476
1400/01/01,1000560,1001843,1011638,23060392028038,23047476
1399/12/30,1000000,1001283,1011279,23047489994316,23047476
1399/12/29,1015121,1016403,1028248,23395986179599,23047476
1399/12/28,1014561,1015842,1027880,23383079239418,23047476
1399/12/27,1014001,1015282,1027512,23370173715513,23047476
1399/12/26,1013441,1014711,1026784,23357285202829,23047487
1399/12/25,1012881,1014126,1025822,23324089879500,23027465
1399/12/24,1012321,1013560,1025483,23175281732327,22893203
1399/12/23,1011761,1012978,1025276,23166956142450,22897651
1399/12/22,1011201,1012378,1024818,23162661856316,22906081
1399/12/21,1010641,1011818,1024457,23149836305940,22906081
1399/12/20,1010081,1011258,1024098,23136999219770,22906081
1399/12/19,1009521,1010664,1024142,23210760752124,22991849
1399/12/18,1008961,1010083,1023299,23048549441863,22843839
1399/12/17,1008401,1009490,1022502,23048766357946,22856733
1399/12/16,1007841,1008903,1022045,23163459129064,22983233
1399/12/15,1007281,1008345,1021645,23158145364571,22990741
1399/12/14,1006721,1007785,1021271,23145264319745,22990741
1399/12/13,1006161,1007224,1020907,23132389525102,22990741
1399/12/12,1005601,1006630,1020557,23098200635326,22969534
1399/12/11,1005041,1006034,1020206,23100038884004,22984173
1399/12/10,1004481,1005461,1019742,23086325146062,22983323
1399/12/09,1003921,1004908,1019788,23080741685035,22990580
1399/12/08,1003361,1004349,1019390,23068661938719,22991382
1399/12/07,1002801,1003789,1019024,23055790313158,22991382
1399/12/06,1002241,1003229,1018658,23042906073228,22991382
1399/12/05,1001680,1002658,1017234,22893287312072,22854886
1399/12/04,1001119,1002083,1016311,23191498804828,23165553
1399/12/03,1000560,1001489,1015276,24138069771011,24124552
1399/12/02,1000000,1000947,1015227,23775273473544,23775231
1399/12/01,1000538,1001580,1016264,21794322195986,21782597
1399/11/30,1000000,1001042,1015735,21782600646745,21782597
1399/11/29,1119326,1120368,1135653,24381844842797,21782597
1399/11/28,1118336,1119225,1135894,24361160767522,21783391
1399/11/27,1117716,1118611,1133515,24352139117777,21787395
1399/11/26,1117095,1117992,1132955,24339191820088,21787914
1399/11/25,1116476,1117378,1133504,24622438245486,22053708
1399/11/24,1115856,1116745,1133607,24620818776453,22064498
1399/11/23,1115236,1116124,1133203,24607137326249,22064498
1399/11/22,1114616,1115504,1132800,24593459492370,22064498
1399/11/21,1113996,1114884,1132394,24579770815327,22064498
1399/11/20,1113376,1114258,1131892,24565808348169,22064238
1399/11/19,1112752,1113632,1131338,24557020948786,22068724
1399/11/18,1112132,1112995,1130939,24550605038069,22075257
1399/11/17,1111512,1112391,1130638,24559442779985,22095510
1399/11/16,1110892,1111770,1130237,24545727756760,22095510
1399/11/15,1110272,1111151,1129836,24532041616234,22095510
1399/11/14,1109652,1110537,1129612,24461940890153,22044687
1399/11/13,1109032,1109911,1128864,24630765352619,22209241
1399/11/12,1108412,1109303,1128369,24655837085931,22244271
1399/11/11,1107792,1108687,1127716,24642037667235,22244271
1399/11/10,1107172,1108035,1127089,24631919432650,22247590
1399/11/09,1106552,1107415,1126692,24618118157261,22247590
1399/11/08,1105932,1106794,1126295,24604322928284,22247590
1399/11/07,1105312,1106172,1125865,24587490206899,22244832
1399/11/06,1104692,1105551,1124478,24612044535540,22279543
1399/11/05,1104072,1104930,1123818,24768827017929,22434054
1399/11/04,1103452,1104308,1123227,24772039894934,22449581
1399/11/03,1102832,1103646,1122279,24721270102349,22416164
