تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,14580,14632,14580,1190347076608,81643670
1401/03/06,14761,14813,14761,1255294226746,85043670
1401/03/05,14760,14812,14760,1255213505618,85043670
1401/03/04,14759,14811,14759,1255132949588,85043670
1401/03/03,14688,14740,14688,1249088090684,85043670
1401/03/02,14692,14746,14692,1249503073956,85043670
1401/03/01,14916,14973,14916,1268525599876,85043670
1401/02/31,14915,14973,14915,1268444082284,85043670
1401/02/30,15002,15060,15002,1295318976235,86343670
1401/02/29,15001,15058,15001,1295225965564,86343670
1401/02/28,15000,15058,15000,1295150894546,86343670
1401/02/27,15007,15064,15007,1295731643598,86343670
1401/02/26,15084,15139,15084,1382370435295,91643670
1401/02/25,15018,15070,15018,1457360345288,97043670
1401/02/24,15037,15088,15037,1459201486850,97043670
1401/02/23,14829,14880,14829,1439070352157,97043670
1401/02/22,14828,14879,14828,1438999787921,97043670
1401/02/21,14828,14879,14828,1438929119339,97043670
1401/02/20,14633,14685,14633,1420081686327,97043670
1401/02/19,131302,131760,131302,1415781203037,10782630
1401/02/18,132568,133035,132568,1429426594715,10782630
1401/02/17,132369,132835,132369,1427281980112,10782630
1401/02/16,132114,132579,132114,1424537106212,10782630
1401/02/15,132108,132573,132108,1424467559625,10782630
1401/02/14,132101,132566,132101,1424398178389,10782630
1401/02/13,132095,132560,132095,1424328962393,10782630
1401/02/12,132088,132554,132088,1424259911527,10782630
1401/02/11,131633,132094,131633,1419346967825,10782630
1401/02/10,131675,132183,131675,1432969389952,10882630
1401/02/09,132124,132648,132124,1437853731329,10882630
1401/02/08,132118,132642,132118,1437792422363,10882630
1401/02/07,132112,132637,132112,1437731276535,10882630
1401/02/06,132154,132668,132154,1504261687586,11382630
1401/02/05,131559,132087,131559,1497490769796,11382630
1401/02/04,131076,131598,131076,1531313580230,11682630
1401/02/03,132087,132597,132087,1609166337340,12182630
1401/02/02,132083,132593,132083,1609114363385,12182630
1401/02/01,132078,132589,132078,1609062551938,12182630
1401/01/31,132074,132584,132074,1609010409494,12182630
1401/01/30,132153,132718,132153,1609966240324,12182630
1401/01/29,130955,131513,130955,1595381182372,12182630
1401/01/28,129579,130129,129579,1591574707059,12282630
1401/01/27,128154,128700,128154,1574065022098,12282630
1401/01/26,127201,127746,127201,1562364539274,12282630
1401/01/25,127197,127742,127197,1562310991719,12282630
1401/01/24,127192,127737,127192,1562257605846,12282630
1401/01/23,125584,126121,125584,1542495984579,12282630
1401/01/22,128313,128870,128313,1576027208655,12282630
1401/01/21,128208,128769,128208,1574735457114,12282630
1401/01/20,127698,128273,127698,1568469573984,12282630
1401/01/19,126762,127293,126762,1556972848359,12282630
1401/01/18,126761,127292,126761,1556956347092,12282630
1401/01/17,126759,127291,126759,1556939882437,12282630
1401/01/16,127566,128105,127566,1566842578004,12282630
1401/01/15,126567,127100,126567,1554580833818,12282630
1401/01/14,126582,127105,126582,1567421051698,12382630
1401/01/13,125317,125829,125317,1551750736402,12382630
1401/01/12,125313,125826,125313,1551710646361,12382630
1401/01/11,125310,125841,125328,1551670694320,12382630
1401/01/10,125307,125819,125307,1551630388206,12382630
1401/01/09,123826,124321,123826,1533291553804,12382630
1401/01/08,124490,124977,124490,1578858600064,12682630
1401/01/07,123582,124063,123582,1567343797170,12682630
1401/01/06,122913,123423,122913,1558857949077,12682630
1401/01/05,121833,122341,121833,1545163357895,12682630
1401/01/04,121830,122338,121830,1545124541281,12682630
1401/01/03,121827,122335,121827,1545085862326,12682630
1401/01/02,121824,122332,121824,1545047320980,12682630
1401/01/01,121821,122329,121821,1545008917186,12682630
1400/12/29,121818,122326,121818,1544968408628,12682630
1400/12/28,121815,122323,121815,1544931416747,12682630
1400/12/27,119738,120233,119738,1518593979612,12682630
1400/12/26,119735,120230,119735,1518555181705,12682630
1400/12/25,119732,120227,119732,1518516521172,12682630
1400/12/24,118955,119445,118955,1508661075354,12682630
1400/12/23,118502,118988,118502,1502922158153,12682630
1400/12/22,118395,118879,118395,1501553708179,12682630
1400/12/21,118118,118599,118118,1498050155172,12682630
1400/12/20,119722,120181,119722,1554301018416,12982630
1400/12/19,119702,120162,119702,1554050948742,12982630
1400/12/18,119683,120142,119683,1553801242001,12982630
1400/12/17,118675,119121,118675,1540718755630,12982630
1400/12/16,119108,119554,119108,1546333846679,12982630
1400/12/15,118736,119172,118736,1553385027975,13082630
1400/12/14,117407,117847,117407,1535986744057,13082630
1400/12/13,116065,116495,116065,1518431194155,13082630
1400/12/12,116045,116475,116045,1518180158591,13082630
1400/12/11,116026,116456,116026,1517929506540,13082630
1400/12/10,116297,116727,116297,1533103707967,13182630
1400/12/09,116278,116708,116278,1532854412061,13182630
1400/12/08,116171,116600,116171,1531433339647,13182630
1400/12/07,115697,116135,115697,1525197044638,13182630
1400/12/06,116379,116822,116379,1534181034508,13182630
1400/12/05,116360,116803,116360,1533931183780,13182630
1400/12/04,116341,116784,116341,1533681752323,13182630
1400/12/03,115854,116292,115854,1527256712417,13182630
1400/12/02,115657,116094,115657,1524666353093,13182630
1400/12/01,115103,115537,115103,1517356084794,13182630
1400/11/30,115215,115650,115215,1518832093329,13182630
1400/11/29,115331,115766,115331,1520359557956,13182630
1400/11/28,115311,115747,115311,1520107445774,13182630
1400/11/27,115292,115728,115292,1519855156304,13182630
1400/11/26,115473,115910,115473,1522236743048,13182630
1400/11/25,115454,115891,115454,1521985575173,13182630
1400/11/24,114887,115322,114887,1514507096648,13182630
1400/11/23,115039,115470,115039,1516515506506,13182630
1400/11/22,115551,115986,115551,1523268801639,13182630
1400/11/21,115532,115967,115532,1523016401741,13182630
1400/11/20,115513,115948,115513,1522764512568,13182630
1400/11/19,115035,115467,115035,1516467447566,13182630
1400/11/18,114647,115074,114647,1511352317892,13182630
1400/11/17,114684,115112,114684,1511838195067,13182630
1400/11/16,116516,116956,116516,1535982086829,13182630
1400/11/15,116485,116925,116485,1535573071508,13182630
1400/11/14,116466,116906,116466,1535324306943,13182630
1400/11/13,116447,116887,116447,1535075929079,13182630
1400/11/12,116333,116770,116333,1533569947228,13182630
1400/11/11,116493,116933,116493,1535689259424,13182630
1400/11/10,115411,115774,115411,1613746672299,13982630
1400/11/09,114877,115237,114877,1606284239553,13982630
1400/11/08,113276,113629,113276,1583896118221,13982630
1400/11/07,113258,113612,113258,1583646403653,13982630
1400/11/06,113234,113588,113234,1583311854039,13982630
1400/11/05,111652,112000,111652,1561186619257,13982630
1400/11/04,112815,113178,112815,1577452363474,13982630
1400/11/03,113963,114358,113963,1593496037654,13982630
1400/11/02,115017,115408,115017,1665753385512,14482630
1400/11/01,115295,115720,115295,1669776971944,14482630
1400/10/30,115276,115701,115276,1669497087260,14482630
1400/10/29,115256,115681,115256,1669206061547,14482630
1400/10/28,114460,114885,114460,1726355511384,15082630
1400/10/27,115931,116367,115931,1748544888384,15082630
1400/10/26,116755,117207,116755,1760975713108,15082630
1400/10/25,116811,117270,116811,1738458104139,14882630
1400/10/24,117639,118092,117639,1797829660231,15282630
1400/10/23,117621,118074,117621,1797563595421,15282630
1400/10/22,117611,118064,117611,1797404713189,15282630
1400/10/21,117803,118242,117803,1882794648501,15982630
1400/10/20,117889,118334,117889,1966697289030,16682630
1400/10/19,117972,118464,117972,1968081188599,16682630
1400/10/18,119354,119856,119354,1991132556202,16682630
1400/10/17,119849,120353,119849,1999393499488,16682630
1400/10/16,119843,120347,119843,1999290905019,16682630
1400/10/15,119837,120341,119837,1999188567986,16682630
1400/10/14,119626,120118,119626,2043534137255,17082630
1400/10/13,120205,120650,120205,2293819661539,19082630
1400/10/12,120459,120950,120459,2298669659411,19082630
1400/10/11,120367,120874,120367,2296915153261,19082630
1400/10/10,121136,121649,121136,2311599540880,19082630
1400/10/09,121132,121645,121132,2311508626063,19082630
1400/10/08,121127,121640,121127,2311417966001,19082630
1400/10/07,121822,122342,121822,2324686029436,19082630
1400/10/06,121252,121769,121252,2313810506515,19082630
1400/10/05,120866,121381,120866,2306437083799,19082630
1400/10/04,119852,120360,119852,2287093228219,19082630
1400/10/03,119803,120310,119803,2286150164127,19082630
1400/10/02,119799,120306,119799,2286070456873,19082630
1400/10/01,119794,120301,119794,2285991045260,19082630
1400/09/30,117564,118059,117564,2243438576498,19082630
1400/09/29,116239,116725,116239,2218151471668,19082630
1400/09/28,115015,115487,115015,2194780173529,19082630
1400/09/27,116025,116503,116025,2214065942897,19082630
1400/09/26,115166,115640,115166,2197669817777,19082630
1400/09/25,115161,115635,115161,2197584163628,19082630
1400/09/24,115157,115631,115157,2197498737126,19082630
1400/09/23,114987,115460,114987,2194253636470,19082630
1400/09/22,114025,114492,114025,2175901934997,19082630
1400/09/21,116488,116971,116488,2222892522083,19082630
1400/09/20,117456,117946,117456,2241373078965,19082630
1400/09/19,118369,118865,118369,2258785930443,19082630
1400/09/18,118364,118861,118364,2258702984072,19082630
1400/09/17,118360,118857,118360,2258620933206,19082630
1400/09/16,117808,118297,117808,2248077343569,19082630
1400/09/15,117747,118239,117747,2246922238269,19082630
1400/09/14,118170,118666,118170,2254998256589,19082630
1400/09/13,117469,118032,117469,2241612322538,19082630
1400/09/12,117465,118028,117465,2241535502524,19082630
1400/09/11,117460,118024,117460,2241453018149,19082630
1400/09/10,117456,118020,117456,2241370255439,19082630
1400/09/09,118124,118693,118124,2254125930173,19082630
1400/09/08,118374,118944,118374,2258878296226,19082630
1400/09/07,118788,119361,118788,2266781846230,19082630
1400/09/06,118462,119033,118462,2260575606294,19082630
1400/09/05,120539,121124,120539,2300194379044,19082630
1400/09/04,120535,121120,120535,2300118285591,19082630
1400/09/03,120531,121116,120531,2300042455604,19082630
1400/09/02,120517,121104,120517,2299784347875,19082630
1400/09/01,121159,121750,121159,2312032780639,19082630
1400/08/30,120747,121336,120747,2304173874014,19082630
1400/08/29,119562,120143,119562,2281565465648,19082630
1400/08/28,121482,122074,121482,2318188381136,19082630
1400/08/27,121477,122070,121477,2318100118552,19082630
1400/08/26,121472,122065,121472,2318012225008,19082630
1400/08/25,121213,121804,121213,2313071967145,19082630
1400/08/24,121344,121937,121344,2315569978546,19082630
1400/08/23,122741,123343,122741,2342228674752,19082630
1400/08/22,122927,123529,122927,2345765742257,19082630
1400/08/21,124479,125094,124479,2375389310549,19082630
1400/08/20,124475,125089,124475,2375308823358,19082630
1400/08/19,124471,125085,124471,2375224642816,19082630
1400/08/18,123450,124056,123450,2355747438053,19082630
1400/08/17,122447,123045,122447,2336610046101,19082630
1400/08/16,121425,122015,121425,2317116467496,19082630
1400/08/15,122766,123365,122766,2342698855543,19082630
1400/08/14,121411,122001,121411,2316839435694,19082630
1400/08/13,121406,121996,121406,2316751006568,19082630
1400/08/12,121402,121992,121402,2316662827005,19082630
1400/08/11,119409,119986,119409,2278644234350,19082630
1400/08/10,118503,119073,118503,2261350349469,19082630
1400/08/09,117260,117820,117260,2237628725270,19082630
1400/08/08,119875,120454,119875,2287538236447,19082630
1400/08/07,121357,121947,121357,2315814708346,19082630
1400/08/06,121353,121942,121353,2315730408730,19082630
1400/08/05,121332,121921,121332,2315335392200,19082630
1400/08/04,121045,121633,121045,2309865852632,19082630
1400/08/03,121007,121594,121007,2309125456760,19082630
1400/08/02,122781,123382,122781,2342992550188,19082630
1400/08/01,122777,123377,122777,2342905569863,19082630
1400/07/30,124723,125335,124723,2380034466419,19082630
1400/07/29,124718,125330,124718,2379937923835,19082630
1400/07/28,124713,125325,124713,2379846891026,19082630
1400/07/27,125824,126438,125824,2413628189554,19182630
1400/07/26,125670,126283,125670,2410677532647,19182630
1400/07/25,124412,125015,124412,2386552281096,19182630
1400/07/24,124928,125525,124928,2433931401975,19482630
1400/07/23,122524,123124,122524,2387086029873,19482630
1400/07/22,122520,123120,122520,2387017315270,19482630
1400/07/21,122517,123117,122517,2386948864636,19482630
1400/07/20,123150,123752,123150,2399290003243,19482630
1400/07/19,125047,125662,125047,2436236273057,19482630
1400/07/18,125605,126225,125605,2447121579609,19482630
1400/07/17,125027,125645,125027,2435857164607,19482630
1400/07/16,127474,128108,127474,2483525938500,19482630
1400/07/15,127471,128105,127471,2483463224125,19482630
1400/07/14,127467,128101,127467,2483400778455,19482630
1400/07/13,127309,127930,127309,2531238883138,19882630
1400/07/12,127305,127926,127305,2531167662692,19882630
1400/07/11,126995,127620,126995,2524998420729,19882630
1400/07/10,127157,127788,127157,2528219449441,19882630
1400/07/09,125674,126297,125674,2498732613614,19882630
1400/07/08,125669,126291,125669,2498629991377,19882630
1400/07/07,125664,126286,125664,2498527669137,19882630
1400/07/06,124395,124996,124395,2523056295513,20282630
1400/07/05,124243,124843,124243,2519972595885,20282630
1400/07/04,124239,124840,124239,2519901985018,20282630
1400/07/03,123979,124577,123979,2514610303467,20282630
1400/07/02,122389,122970,122389,2482367446260,20282630
1400/07/01,122385,122966,122385,2482292628764,20282630
1400/06/31,122366,122947,122366,2481900286582,20282630
1400/06/30,120943,121521,120943,2453051040006,20282630
1400/06/29,122937,123525,122937,2493493791668,20282630
1400/06/28,122624,123214,122624,2487140637448,20282630
1400/06/27,123373,123970,123373,2502338292020,20282630
1400/06/26,126009,126624,126009,2555794220073,20282630
1400/06/25,126004,126619,126004,2555687867553,20282630
1400/06/24,125999,126614,125999,2555581799382,20282630
1400/06/23,126637,127254,126637,2568523720893,20282630
1400/06/22,125181,125784,125181,2551507936644,20382630
1400/06/21,125740,126268,125740,2562913182629,20382630
1400/06/20,127248,127791,127248,2568197686892,20182630
1400/06/19,128028,128577,128028,2596742712974,20282630
1400/06/18,128023,128572,128023,2596638023011,20282630
1400/06/17,128018,128567,128018,2596536642287,20282630
1400/06/16,127508,128041,127508,2675460064647,20982630
1400/06/15,128123,128660,128123,2688361062763,20982630
1400/06/14,129440,130004,129440,2690113886360,20782630
1400/06/13,129688,130244,129688,2747142073025,21182630
1400/06/12,129735,130292,129735,2748125630517,21182630
1400/06/11,129731,130288,129731,2748034785299,21182630
1400/06/10,129726,130283,129726,2747943698608,21182630
1400/06/09,127420,127999,127420,2699081791071,21182630
1400/06/08,129070,129661,129070,2734042585142,21182630
1400/06/07,131178,131779,131178,2778694786598,21182630
1400/06/06,133737,134375,133737,2832901459293,21182630
1400/06/05,131387,132025,131387,2730573032291,20782630
1400/06/04,131380,132017,131380,2730412486545,20782630
1400/06/03,131372,132009,131372,2730252717951,20782630
1400/06/02,130391,131017,130391,2709870840873,20782630
1400/06/01,128374,128990,128374,2667957908621,20782630
1400/05/31,128563,129180,128563,2671883878382,20782630
1400/05/30,128437,129044,128437,2707784262792,21082630
1400/05/29,128428,129035,128428,2707602234724,21082630
1400/05/28,128420,129027,128420,2707440141247,21082630
1400/05/27,128413,129020,128413,2707278415490,21082630
1400/05/26,128405,129012,128405,2707117057006,21082630
1400/05/25,128397,129004,128397,2706956065361,21082630
1400/05/24,128390,128997,128390,2706795440138,21082630
1400/05/23,125935,126525,125935,2655044458529,21082630
1400/05/22,127180,127777,127180,2681286321791,21082630
1400/05/21,127175,127773,127175,2681190977225,21082630
1400/05/20,127171,127768,127171,2681094492845,21082630
1400/05/19,125628,126216,125628,2648572132329,21082630
1400/05/18,123889,124472,123889,2611907504455,21082630
1400/05/17,122965,123542,122965,2592419757282,21082630
1400/05/16,122185,122758,122185,2575980384461,21082630
1400/05/15,123125,123697,123125,2645045589355,21482630
1400/05/14,123120,123692,123120,2644938187248,21482630
1400/05/13,123114,123687,123114,2644821032025,21482630
1400/05/12,120639,121195,120639,2591648137445,21482630
1400/05/11,119291,119852,119291,2562677083898,21482630
1400/05/10,119300,119870,119300,2562873447820,21482630
1400/05/09,119048,119616,119048,2557462623463,21482630
1400/05/08,116142,116691,116142,2495045015427,21482630
1400/05/07,116137,116686,116137,2494932680955,21482630
1400/05/06,116132,116680,116132,2494821313071,21482630
1400/05/05,114981,115517,114981,2470104409619,21482630
1400/05/04,115724,116251,115724,2486063596072,21482630
1400/05/03,114834,115348,114834,2466937179736,21482630
1400/05/02,114831,115345,114831,2466868637524,21482630
1400/05/01,114828,115341,114828,2466800999751,21482630
1400/04/31,114824,115338,114824,2466725593160,21482630
1400/04/30,114877,115394,114877,2467855975624,21482630
1400/04/29,114838,115356,114838,2467031433758,21482630
1400/04/28,114881,115401,114881,2467943871988,21482630
1400/04/27,113983,114497,113983,2448657316175,21482630
1400/04/26,113471,113987,113471,2437658603377,21482630
1400/04/25,113669,114181,113669,2441909036211,21482630
1400/04/24,113666,114178,113666,2441855048606,21482630
1400/04/23,113675,114187,113675,2442029293173,21482630
1400/04/22,112757,113227,112757,2602723218930,23082630
1400/04/21,112970,113448,112970,2607636891568,23082630
1400/04/20,112525,113001,112525,2642379787603,23482630
1400/04/19,111202,111677,111202,2611322342153,23482630
1400/04/18,111572,112053,111572,2620007199098,23482630
1400/04/17,111570,112051,111570,2619963687588,23482630
1400/04/16,111568,112049,111568,2619919819074,23482630
1400/04/15,111738,112221,111738,2623895737738,23482630
1400/04/14,110502,110979,110502,2594880573782,23482630
1400/04/13,108662,109131,108662,2551666246981,23482630
1400/04/12,107932,108394,107932,2534519510404,23482630
1400/04/11,109590,110061,109590,2573454182755,23482630
1400/04/10,109588,110060,109588,2573416040025,23482630
1400/04/09,109587,110059,109587,2573394959481,23482630
1400/04/08,109109,109585,109109,2562158819223,23482630
1400/04/07,108633,109106,108633,2550984632346,23482630
1400/04/06,107955,108421,107955,2535078896709,23482630
1400/04/05,107294,107748,107294,2519548458663,23482630
1400/04/04,106850,107299,106850,2509115309000,23482630
1400/04/03,106848,107297,106848,2509075948777,23482630
1400/04/02,106847,107296,106847,2509037931299,23482630
1400/04/01,105245,105685,105245,2471419366556,23482630
1400/03/31,103826,104265,103826,2438097668638,23482630
1400/03/30,103079,103514,103079,2420565756072,23482630
1400/03/29,103738,104181,103738,2436049140522,23482630
1400/03/28,102888,103325,102888,2416079081948,23482630
1400/03/27,102887,103324,102887,2416048950631,23482630
1400/03/26,102890,103328,102890,2416133246497,23482630
1400/03/25,102307,102737,102307,2402438457948,23482630
1400/03/24,103102,103537,103102,2421094916947,23482630
1400/03/23,102537,102969,102537,2407849055337,23482630
1400/03/22,102465,102897,102465,2406157081722,23482630
1400/03/21,103089,103522,103089,2420798965283,23482630
1400/03/20,103088,103521,103088,2420773934509,23482630
1400/03/19,103087,103520,103087,2420749094107,23482630
1400/03/18,103407,103842,103407,2428273210261,23482630
1400/03/17,103999,104444,103999,2442177510420,23482630
1400/03/16,103122,103558,103122,2421567432652,23482630
1400/03/15,103121,103557,103121,2421545277673,23482630
1400/03/14,103120,103556,103120,2421521841835,23482630
1400/03/13,103119,103555,103119,2421499584510,23482630
1400/03/12,103118,103554,103118,2421477816741,23482630
1400/03/11,101738,102167,101738,2389079953313,23482630
1400/03/10,101789,102215,101789,2390272312707,23482630
1400/03/09,102264,102684,102264,2401420237323,23482630
1400/03/08,102536,102943,102536,2407820189459,23482630
1400/03/07,101004,101397,101004,2371848678111,23482630
1400/03/06,101000,101393,101000,2371749468350,23482630
1400/03/05,100996,101388,100996,2371649677591,23482630
1400/03/04,100583,100969,100583,2361944736932,23482630
1400/03/03,99972,100353,99972,2347612081751,23482630
1400/03/02,100307,100691,100307,2355480507444,23482630
1400/03/01,100651,101038,100651,2363557567748,23482630
1400/02/31,101759,102153,101759,2389564549089,23482630
1400/02/30,101755,102149,101755,2389468646856,23482630
1400/02/29,101726,102120,101726,2388783990647,23482630
1400/02/28,102649,103050,102649,2410462478944,23482630
1400/02/27,102246,102645,102246,2400997881013,23482630
1400/02/26,103024,103429,103024,2419281685952,23482630
1400/02/25,103540,103948,103540,2431393659445,23482630
1400/02/24,103293,103700,103293,2425598634740,23482630
1400/02/23,103289,103696,103289,2425499811671,23482630
1400/02/22,103285,103691,103285,2425401249704,23482630
1400/02/21,103552,103961,103552,2431668574668,23482630
1400/02/20,102995,103400,102995,2418603540245,23482630
1400/02/19,101947,102344,101947,2393987124594,23482630
1400/02/18,102479,102879,102479,2406470932704,23482630
1400/02/17,102953,103354,102953,2417605716186,23482630
1400/02/16,102949,103349,102949,2417507058553,23482630
1400/02/15,102945,103345,102945,2417408659600,23482630
1400/02/14,102609,103008,102609,2409538378423,23482630
1400/02/13,102605,103003,102605,2409439838187,23482630
1400/02/12,103071,103474,103071,2420388324164,23482630
1400/02/11,103714,104123,103714,2435489117851,23482630
1400/02/10,104695,105105,104695,2458502981793,23482630
1400/02/09,104689,105100,104689,2458384153162,23482630
1400/02/08,104684,105095,104684,2458265607793,23482630
1400/02/07,104234,104641,104234,2447694358303,23482630
1400/02/06,103827,104222,103827,2438126539672,23482630
1400/02/05,103303,103694,103303,2425826122018,23482630
1400/02/04,103623,104017,103623,2433343314702,23482630
1400/02/03,103889,104285,103889,2439585357956,23482630
1400/02/02,103884,104280,103884,2439462015869,23482630
1400/02/01,103879,104275,103879,2439342135333,23482630
1400/01/31,104493,104893,104493,2453765453237,23482630
1400/01/30,104919,105322,104919,2463772612778,23482630
1400/01/29,104629,105031,104629,2456957004116,23482630
1400/01/28,105184,105588,105184,2469987463696,23482630
1400/01/27,105706,106114,105706,2482250063837,23482630
1400/01/26,105700,106108,105700,2482125604653,23482630
1400/01/25,105695,106103,105695,2482001436801,23482630
1400/01/24,106281,106693,106281,2495755974609,23482630
1400/01/23,105705,106113,105705,2482237114733,23482630
1400/01/22,105539,105944,105539,2488892283828,23582630
1400/01/21,105875,106282,105875,2496803632023,23582630
1400/01/20,106399,106810,106399,2509172986210,23582630
1400/01/19,106395,106806,106395,2509076342528,23582630
1400/01/18,106391,106802,106391,2508980352569,23582630
1400/01/17,106751,107164,106751,2517467536827,23582630
1400/01/16,107627,108046,107627,2538128464690,23582630
1400/01/15,107410,107829,107410,2533016783025,23582630
1400/01/14,107884,108306,107884,2544199377391,23582630
1400/01/13,108459,108885,108459,2557740063471,23582630
1400/01/12,108455,108881,108455,2557650078821,23582630
1400/01/11,108451,108877,108451,2557560379258,23582630
1400/01/10,108332,108757,108332,2554759008306,23582630
1400/01/09,108450,108875,108450,2557529390716,23582630
1400/01/08,108446,108872,108446,2557438214240,23582630
1400/01/07,108699,109127,108699,2563401686349,23582630
1400/01/06,108188,108613,108188,2551360458357,23582630
1400/01/05,108184,108609,108184,2551267656987,23582630
1400/01/04,108097,108522,108097,2549209561455,23582630
1400/01/03,108093,108518,108093,2549116522432,23582630
1400/01/02,108089,108514,108089,2549023771745,23582630
1400/01/01,108085,108510,108085,2548931308953,23582630
1399/12/30,107872,108297,107872,2543903181717,23582630
1399/12/29,107870,108295,107870,2543852944503,23582630
1399/12/28,107865,108290,107865,2543736190602,23582630
1399/12/27,107860,108285,107860,2543619466956,23582630
1399/12/26,107407,107829,107407,2532930113023,23582630
1399/12/25,105321,105731,105321,2483756276915,23582630
1399/12/24,104647,105053,104647,2467857341896,23582630
1399/12/23,104843,105250,104843,2472466538787,23582630
1399/12/22,103856,104256,103856,2449192830714,23582630
1399/12/21,103851,104251,103851,2449069756570,23582630
1399/12/20,103845,104246,103845,2448946969118,23582630
1399/12/19,103617,104016,103617,2443554492480,23582630
1399/12/18,103789,104190,103789,2447611942198,23582630
1399/12/17,102766,103160,102766,2423500050815,23582630
1399/12/16,102318,102709,102318,2412927329896,23582630
1399/12/15,102505,102881,102505,2530093019382,24682630
1399/12/14,102500,102876,102500,2529972442677,24682630
1399/12/13,102495,102871,102495,2529852150319,24682630
1399/12/12,102765,103156,102765,2536520138767,24682630
1399/12/11,102648,103038,102648,2533617705862,24682630
1399/12/10,102285,102673,102285,2524674328046,24682630
1399/12/09,102926,103318,102926,2540496336780,24682630
1399/12/08,103114,103506,103114,2545127023658,24682630
1399/12/07,103109,103501,103109,2545012540382,24682630
1399/12/06,103105,103496,103105,2544896479357,24682630
1399/12/05,104518,104920,104518,2579784280073,24682630
1399/12/04,103951,104348,103951,2565781081284,24682630
1399/12/03,104002,104401,104002,2567051339321,24682630
1399/12/02,104743,105148,104743,2585338793711,24682630
1399/12/01,104940,105346,104940,2590186713299,24682630
1399/11/30,104938,105344,104938,2590152039664,24682630
1399/11/29,104934,105340,104934,2590053128376,24682630
1399/11/28,105022,105429,105022,2592213391825,24682630
1399/11/27,105223,105641,105223,2597180725682,24682630
1399/11/26,105461,105870,105461,2603054796956,24682630
1399/11/25,105960,106366,105960,2615378248853,24682630
1399/11/24,104335,104725,104335,2575260760397,24682630
1399/11/23,104331,104721,104331,2575161238367,24682630
1399/11/22,104327,104717,104327,2575062199903,24682630
1399/11/21,104323,104713,104323,2574963519613,24682630
1399/11/20,102967,103348,102967,2541492368489,24682630
1399/11/19,102766,103146,102766,2536522934284,24682630
1399/11/18,100802,101169,100802,2488054228314,24682630
1399/11/17,101986,102361,101986,2517279575134,24682630
1399/11/16,101982,102357,101982,2517175947444,24682630
1399/11/15,101977,102353,101977,2517072571579,24682630
1399/11/14,103598,103985,103598,2557069748799,24682630
1399/11/13,104278,104669,104278,2573861230419,24682630
1399/11/12,104653,105049,104653,2583105749913,24682630
1399/11/11,106492,106901,106492,2628504579260,24682630
1399/11/10,104663,105060,104663,2583355793244,24682630
1399/11/09,104659,105056,104659,2583260024481,24682630
1399/11/08,104655,105052,104655,2583164567120,24682630
1399/11/07,104095,104488,104095,2569338377948,24682630
1399/11/06,106045,106451,106045,2617468154371,24682630
1399/11/05,105755,106169,105755,2610305331162,24682630
1399/11/04,106987,107409,106987,2640723746856,24682630
1399/11/03,105044,105452,105044,2592752092107,24682630
1399/11/02,105040,105448,105040,2592658785620,24682630
1399/11/01,105036,105444,105036,2592568943441,24682630
1399/10/30,103558,103956,103558,2556093166196,24682630
1399/10/29,102928,103322,102928,2540523605443,24682630
1399/10/28,104555,104961,104555,2580703273464,24682630
1399/10/27,104551,104957,104551,2580603561640,24682630
1399/10/26,106528,106947,106528,2629387374960,24682630
1399/10/25,106524,106943,106524,2629292178596,24682630
1399/10/24,106520,106939,106520,2629197240793,24682630
1399/10/23,108060,108492,108060,2667196301507,24682630
1399/10/22,109379,109821,109379,2699757755104,24682630
1399/10/21,110368,110819,110368,2724162151292,24682630
1399/10/20,109275,109718,109275,2697187631842,24682630
1399/10/19,110256,110701,110256,2721417829903,24682630
1399/10/18,110253,110698,110253,2721330559486,24682630
1399/10/17,110249,110694,110249,2721243930373,24682630
1399/10/16,111548,112002,111548,2753303335912,24682630
1399/10/15,112243,112700,112243,2770458755981,24682630
1399/10/14,111465,111914,111465,2751247301535,24682630
1399/10/13,111131,111557,111131,2742997022922,24682630
1399/10/12,112605,112968,112605,2779399629944,24682630
1399/10/11,112601,112964,112601,2779298489887,24682630
1399/10/10,112597,112960,112597,2779197605085,24682630
1399/10/09,113789,114159,113789,2808606928625,24682630
1399/10/08,114733,115212,114733,2831913171283,24682630
1399/10/07,114636,115118,114636,2829508138533,24682630
1399/10/06,113976,114454,113976,2813234680807,24682630
1399/10/05,113128,113600,113128,2792284526566,24682630
1399/10/04,113124,113596,113124,2792206418777,24682630
1399/10/03,113121,113593,113121,2792128566765,24682630
1399/10/02,112115,112580,112115,2767285424341,24682630
1399/10/01,111464,111924,111464,2762379091410,24782630
1399/09/30,109928,110376,109928,2724303186637,24782630
1399/09/29,110576,111030,110576,2740370456114,24782630
1399/09/28,107475,107908,107475,2663519966787,24782630
1399/09/27,107471,107904,107471,2663425826843,24782630
1399/09/26,107468,107900,107468,2663331949766,24782630
1399/09/25,107802,108236,107802,2671617184912,24782630
1399/09/24,109176,109621,109176,2705672551608,24782630
1399/09/23,110876,111332,110876,2747795898311,24782630
1399/09/22,110643,111097,110643,2742014581196,24782630
1399/09/21,110797,111250,110797,2745834062933,24782630
1399/09/20,110793,111247,110793,2745751744314,24782630
